Label;Name;VarLabel;VarValue;Comment0;Comment1;Comment2;Table;Type
;Valeryl_carnitine;;;;;;acyl_carnitines;float
;Trimethyl_lysine;;;;;;acyl_carnitines;float
;Butyrobetaine;;;;;;acyl_carnitines;float
;Octanoyl_carnitine;;;;;;acyl_carnitines;float
;Propionyl_carnitine;;;;;;acyl_carnitines;float
;Acetyl_carnitine;;;;;;acyl_carnitines;float
;Palmitoyl_carnitine;;;;;;acyl_carnitines;float
;Carnitine;;;;;;acyl_carnitines;float
;NORCAD_ID;;;NORCAD_ID;;;acyl_carnitines;float
;Bd6;;;;;;CVDNOR_mars14;nvarchar
;Numediag;;;;;;CVDNOR_mars14;nvarchar
;Bd9;;;;;;CVDNOR_mars14;nvarchar
;Bd5;;;;;;CVDNOR_mars14;nvarchar
;SykdomValg;;;;;;CVDNOR_mars14;float
;Bd20;;;;;;CVDNOR_mars14;nvarchar
;Indato;;;;;;CVDNOR_mars14;datetime
;DodDato;;;;;;CVDNOR_mars14;datetime
;posthosp;;;;;;CVDNOR_mars14;int
;Typekontakt;;;;;;CVDNOR_mars14;nvarchar
;Bd16;;;;;;CVDNOR_mars14;nvarchar
;Bd8;;;;;;CVDNOR_mars14;nvarchar
;Bd7;;;;;;CVDNOR_mars14;nvarchar
;Bd13;;;;;;CVDNOR_mars14;nvarchar
;Bd17;;;;;;CVDNOR_mars14;nvarchar
;Bd14;;;;;;CVDNOR_mars14;nvarchar
;Utskdato;;;;;;CVDNOR_mars14;datetime
;Bd2;;;;;;CVDNOR_mars14;nvarchar
;Bd11;;;;;;CVDNOR_mars14;nvarchar
;Bd18;;;;;;CVDNOR_mars14;nvarchar
;DIAG1;;;;;;CVDNOR_mars14;nvarchar
;Bd4;;;;;;CVDNOR_mars14;nvarchar
;Bd19;;;;;;CVDNOR_mars14;nvarchar
;Bd1;;;;;;CVDNOR_mars14;nvarchar
;Bd12;;;;;;CVDNOR_mars14;nvarchar
;DIAGNOSE;;;;;;CVDNOR_mars14;nvarchar
;Infrac;;;;;;CVDNOR_mars14;nvarchar
;Bd10;;;;;;CVDNOR_mars14;nvarchar
;Bd15;;;;;;CVDNOR_mars14;nvarchar
;Uttilc;;;;;;CVDNOR_mars14;nvarchar
;Inmote;;;;;;CVDNOR_mars14;nvarchar
;PostRec;;;;;;CVDNOR_mars14;float
;Bd3;;;;;;CVDNOR_mars14;nvarchar
Institusjon hvor oppholdet fant sted;Institus;;1;Oslo universitetssykehus HF;;;CVDNOR_mars14;float
;Institus;;2;Klinikk Rjukan;;;CVDNOR_mars14;float
;Institus;;4;Vestre Viken HF;;;CVDNOR_mars14;float
;Institus;;6;Helse Bergen HF;;;CVDNOR_mars14;float
;Institus;;7;Stavanger Universitetssykehus;;;CVDNOR_mars14;float
;Institus;;8;St. Olavs Hospital;;;CVDNOR_mars14;float
;Institus;;9;Ålesund sjukehus;;;CVDNOR_mars14;float
;Institus;;10;Sykehuset Levanger;;;CVDNOR_mars14;float
;Institus;;11;UNN HF;;;CVDNOR_mars14;float
;Institus;;12;Nordlandssykehuset, Bodø;;;CVDNOR_mars14;float
;Institus;;13;UNN HF - Harstad;;;CVDNOR_mars14;float
;Institus;;14;Sykehuset Innlandet HF;;;CVDNOR_mars14;float
;Institus;;15;Sørlandet sykehus HF;;;CVDNOR_mars14;float
;Institus;;17;Akershus universitetssykehus;;;CVDNOR_mars14;float
;Institus;;18;Vesterålen;;;CVDNOR_mars14;float
;Institus;;23;Sykehuset Namsos;;;CVDNOR_mars14;float
;Institus;;24;Klinikk Hammerfest;;;CVDNOR_mars14;float
;Institus;;25;Orkdal Sjukehus;;;CVDNOR_mars14;float
;Institus;;27;UNN HF - Narvik;;;CVDNOR_mars14;float
;Institus;;28;Diakonhjemmets sykehus;;;CVDNOR_mars14;float
;Institus;;29;Aker universitetssykehus (inkl. Ski);;;CVDNOR_mars14;float
;Institus;;30;Haraldsplass Diakonale sjukehus;;;CVDNOR_mars14;float
;Institus;;31;Klinikk Kirkenes;;;CVDNOR_mars14;float
;Institus;;32;Nordlandssykehuset, Lofoten;;;CVDNOR_mars14;float
;Institus;;33;Lovisenberg Diakonale sykehus;;;CVDNOR_mars14;float
;Institus;;34;Klinikk Notodden;;;CVDNOR_mars14;float
;Institus;;35;Mo i Rana;;;CVDNOR_mars14;float
;Institus;;36;Sandnessjøen;;;CVDNOR_mars14;float
;Institus;;37;Helse Førde HF;;;CVDNOR_mars14;float
;Institus;;38;Kristiansund sjukehus;;;CVDNOR_mars14;float
;Institus;;39;Sykehuset Telemark - Skien/Porsgrunn;;;CVDNOR_mars14;float
;Institus;;40;Mosjøen;;;CVDNOR_mars14;float
;Institus;;41;Volda sjukehus;;;CVDNOR_mars14;float
;Institus;;42;Sykehuset Østfold HF;;;CVDNOR_mars14;float
;Institus;;45;Molde sjukehus;;;CVDNOR_mars14;float
;Institus;;46;Sykehuset i Vestfold HF;;;CVDNOR_mars14;float
;Institus;;47;Feiringklinikken;;;CVDNOR_mars14;float
;Institus;;52;Sykehuset Telemark - Kragerø;;;CVDNOR_mars14;float
;Institus;;54;Longyearbyen;IKKE innhentet;;CVDNOR_mars14;float
;Institus;;61;Odda sjukehus;;;CVDNOR_mars14;float
;Institus;;62;Stord sjukehus;;;CVDNOR_mars14;float
;Institus;;63;Haugesund sjukehus;;;CVDNOR_mars14;float
;Institus;;76;UNN HF - Tromsø;;;CVDNOR_mars14;float
;NORCAD_ID;;;NORCAD_ID;;;CVDNOR_mars14;float
;dato_dm;;;;;;DM_eva;datetime
;NORCAD_ID;;;NORCAD_ID;;;DM_eva;int
;NORCAD_ID;;;NORCAD_ID;;;DM_NORCAD_ID;int
;DODSKOMMUNE_K;;;;;;dodsaarsaker_2014;nvarchar
;DODSTIDSPUNKT;;;;;;dodsaarsaker_2014;datetime
;ARSAK_DIAGNOSER_II;;;;;;dodsaarsaker_2014;nvarchar
;DSF_DATO;;;;;;dodsaarsaker_2014;datetime
;KJONN;;;;;;dodsaarsaker_2014;nvarchar
;TYPE_DIAGNOSE_KODEVERK_K;;;;;;dodsaarsaker_2014;nvarchar
;ARSAK_DIAGNOSER_IA;;;;;;dodsaarsaker_2014;nvarchar
;ARSAK_DIAGNOSER_IC;;;;;;dodsaarsaker_2014;nvarchar
;DIAGNOSE_SKADE_K;;;;;;dodsaarsaker_2014;nvarchar
;DSF_STATUS;;;;;;dodsaarsaker_2014;float
